,score_sum
7337,98.0
8099,94.0
5907,12.0
1442,95.0
5973,8.0
891,95.0
9719,13.0
4045,4.0
8755,98.0
2026,4.0
3497,97.0
5193,0.0
4798,94.0
1526,97.0
2793,95.0
6496,0.0
7259,5.0
8779,2.0
1700,0.0
4732,28.0
3617,0.0
3564,0.0
3891,4.0
4847,98.0
8543,13.0
10358,99.0
9566,100.0
8915,5.0
4965,97.0
10230,98.0
9429,99.0
6493,0.0
2262,4.0
4456,95.0
9844,14.0
1114,94.0
6754,97.0
10321,18.0
4323,10.0
1433,0.0
3798,98.0
9484,99.0
4125,0.0
4946,96.0
6376,93.0
2636,16.0
9836,95.0
3332,18.0
4655,0.0
5784,97.0
6552,94.0
1626,12.0
2077,0.0
8310,4.0
2285,90.0
10760,6.0
